title,desc
Wall (2018),Patrick is a mid-twenties young professional constantly battling his own demons. He takes anti-psychotics to numb himself but feels sluggish every time. He lives a life of a party. His usual nights are composed of nicotine-filled breath and dangerous roads home.
Dog Days (2018),A half-black half-Filipino Michael Jordan wanna-be sets his way towards his “hoop dreams.”
To Love Some Buddy (2018),"A story about Faith, a hardworking marketing professional who has an unlucky streak in romance. After over a decade of not seeing each other, she reaches out to her college classmate Julius, an aspiring musician. After an awkward situation brings them together, the two hit it off and an unlikely friendship blooms. As their friendship gets deeper, so does their feelings for each other - leading them to try being a couple. But their friendship will be tested by the expectations and problems that come with a relationship. Faith and Julius would journey to understanding that sometimes, choosing to commit to someone is also choosing to grow."
How She Left Me (2018),A young man suffering from face blindness and a young woman with a troubled past fall in love.
Through Night and Day (2018),It follows Ben and Jen whose relationship is put to test as they embark on a trip of a lifetime to Jen's lifelong dream destination Iceland.
Bag (2018),"Paolo, an openly gay young professional, is quite unlucky when it comes to finding romantic and lasting relationships. His college buddy Carlo comforts him every time he goes through a breakup. Will their friendship eventually lead to something else?"
Sakaling Maging Tayo (2019),"Two college freshmen, Pol and Laya, accidentally meet during their last day of school in Baguio City. Laya is about to move back to Manila to escape from her failed romance, while Pol is about to spend a care-free night in a music festival. After witnessing Laya’s breakdown because of her recent heartbreak, Pol gets an idea to make her last night in Baguio fun and memorable."
"Us, at The End of the Year (2019)","Five years after their break-up, ex-lovers turned friends Sam and Isa attempt to find their own selves in the realm of their respective romantic relationships. What they discover instead is pain and uncertainty as they come to terms with their feelings for each other and everyone around them."
Family History (2019),"A heartwarming story that seeks to teach family values, life, and marriage."
ANi (2019),"Mithi develops an unlikely friendship with a malfunctioning robot named ANi. Together, they embark on a quest to look for magical grains that Mithi believes will save his grandfather's life."
Connecting (2019),"In a culture where designs are dreamt about and to be woven only by women, a T’boli man is challenged to face a cultural norm as the abaca goddess shows him a pattern to weave in his dreams."
Disconnection Notice (2019),"Away from his home in the province, Paul shuffles between the responsibilities of being the eldest sibling in their apartment and reconnecting with his youngest brother Carl who now lives with him."
Heist School (2019),A ragtag group of students try to steal from the faculty room as they save both their grades and friendship.
In Between Spaces (2019),Jun is a farmer who lives near a pineapple field with his mother Dita and his brother Mako. His aunt from Manila who can’t bear a child offers to adopt Mako with a promise to give him a good life. Jun and Mako face their impending separation and think of ways they can spend every minute together.
Please Stop Talking (2019),"An elderly man tries to repair his relationship with his estranged son, but a mysterious black figure gets in the way."
The Kingmaker (2019),"Documentary centering on the controversial political career of Imelda Marcos, the former first lady of the Philippines whose behind-the-scenes influence of her husband Ferdinand's presidency rocketed her to the global political stage."
Reminiscences of the Green Revolution (2019),"In this vibrant drama about Filipino activists planning a series of protests in 2001, Dean Colin Marcial crafts an intricately layered portrait of idealism, fraying dynamics, and jealousy — all filtered through the point of view of a surprising narrator."
The Panti Sisters (2019),Three gay sons are called back by their estranged and terminally ill father and given an offer they can't refuse: a ₱300 million inheritance in exchange for each of them giving him a grandchild.
Kiko en Lala (2019),"Born with two-different personalities in one body, Kiko and Lala struggle as they fight for their right to love."
Habambuhay: Remembering Philippine Cinema (2019),"A one-of-a-kind legacy project produced by TBA Studios, Habambuhay is a homage to the centennial anniversary of Philippine cinema–an insightfully entertaining documentary series, revisiting the personal experiences of those who work in front of or behind the cameras, those who have shaped the film industry of the Philippines for the longest time."
Write About Love (2019),The story of a young female writer who teams up with a seasoned male writer. Both must work together to rewrite the script of an unfinished love story.
A Thousand Cuts (2020),"Nowhere is the worldwide erosion of democracy, fueled by social media disinformation campaigns, more starkly evident than in the authoritarian regime of Philippine President Rodrigo Duterte. Journalist Maria Ressa places the tools of the free press—and her freedom—on the line in defense of truth and democracy."
Magdaleno Orbos: Sa Kuko Ng Mga Lawin,"Director: Jose ‘Kaka’ Balagtas (as Jose Balagtas) Writers: Erwin T. Lanado (story), Erwin T. Lanado (screenplay) Stars: Eddie Garcia, Eddie Gutierrez, Charlie Davao, Ilonah Jean"
Romano Sagrado: Talim sa dilim,"Romano Sagrado Talim Sa Dilim is a 1995 Tagalog-language Action Horror motion picture written by Vic Dabao and Henry Nadong. The movie is directed by Rogelio Salvador. Romano sagrado talim sa dilim features Monsour Del Rosario, Edu Manzano, Alma Concepcion, John Estrada, Dindo Arroyo, Orestes Ojeda and Bes Flores."
